_id,head,normalized_head
255,qadinúwid,adinuwid
256,qadisír,adisir
257,qadísir,adisir
258,qadiyús,adiyus
259,qadiyús,adiyus
261,qádlaw,adlaw
265,qadlawqádlaw,adlaw-adlaw
266,qadláwan,adlawan
267,qadlawán,adlawan
268,qinádlaw,inadlaw
269,qinadláwan,inadlawan
270,kaqadláwan,kaadlawan
271,kaqadláwun,kaadlawun
272,paŋqádlaw,pang-adlaw
273,talaqadlawán,talaadlawan
274,tiqádlaw,tiadlaw
275,tiŋqádlaw,ting-adlaw
276,qádlib,adlib
277,qádlip,adlip
278,qádlip,adlip
279,qádluq,adlu
280,qadministradúr,administradur
281,qadministrasiyún,administrasiyun
282,qadministratíbu,administratibu
283,qadmirár,admirar
284,qadmisiyún,admisiyun
285,qadmitár,admitar
286,qadmitídu,admitidu
287,qadmitír,admitir
288,qádŋan,adngan
289,qádpan,adpan
290,qadpanán,adpanan
291,qádris,adris
293,qádtu,adtu
294,hiqádtu,hiadtu
295,haqádtu,haadtu
296,qadtuqán,adtuan
297,qadtuqúnun,adtuunun
298,qaladtúqun,aladtuun
299,qumaqadtúqay,umaadtuay
300,qumaqádtu,umaadtu
301,kaqadtuqún,kaadtuun
302,qádtu,adtu
303,qádtut,adtut
304,qadubádu,adubadu
305,qadubáwu,adubawu
306,qadubáwu,adubawu
307,qadúbi,adubi
308,qadúbu,adubu
309,qadúl,adul
310,qadúlt,adult
312,qadultíryu,adultiryu
313,qádqun,ad-un
314,qadúna,aduna
315,dúna,duna
317,pakaqadúna,pakaaduna
318,qadunáhan,adunahan
319,pakaqadunáhan,pakaadunahan
320,qadúptǎr,aduptar
321,qadúrnu,adurnu
322,paŋadúrnu,pangadurnu
323,qadwána,adwana
324,qádyaq,adya
325,qadyaqán,adyaan
326,qádyaks,adyaks
327,qádyas,adyas
328,qadyínda,adyinda
329,qadyinumútu,adyinumutu
330,qag,ag
333,qagaqáb,agaab
334,qagáqak,agaak
335,qagád,agad
339,qágad,agad
340,paŋágad,pangagad
341,qumagád,umagad
342,qumagarún,umagarun
343,qagádqad,agad-ad
344,qagádqad,agad-ad
345,qágqag,ag-ag
346,qagagáŋ,agagang
347,hiqagáŋ,hiagang
348,haqagáŋ,haagang
349,qagáhad,agahad
350,qágak,agak
351,qagakáy,agakay
352,magaqagák,magaagak
353,magaqágak,magaagak
354,qalagakún,alagakun
355,qagákqak,agak-ak
356,qagálun,agalun
357,paŋagálun,pangagalun
358,qagánqan,agan-an
359,qaganqanún,agan-anun
360,qagáŋ,agang
361,qagaŋqagáŋ,agang-agang
362,qagaŋqagaŋún,agang-agangun
363,qagáp,agap
364,qagápaŋ,agapang
365,qagára,agara
366,qagaráy,agaray
367,qágas,agas
368,qagás,agas
370,qagáw,agaw
371,gaw,gaw
372,qigqágaw,ig-agaw
377,magqágaw,mag-agaw
378,managqágaw,manag-agaw
379,pagqagáwan,pag-agawan
380,panagqagáwan,panag-agawan
382,qágaw,agaw
383,qagawán,agawan
384,maŋaqagáw,mangaagaw
385,qagáwun,agawun
386,qagáy,agay
387,qágay,agay
388,qagáyqay,agay-ay
389,qágbat,agbat
390,qagbáti,agbati
391,qágbaw,agbaw
392,qágbay,agbay
393,qágbun,agbun
394,qágda,agda
395,qalagdahún,alagdahun
396,qagdahúnun,agdahunun
397,qágdul,agdul
398,qagh,agh
399,qághad,aghad
400,qághat,aghat
401,maqaghátun,maaghatun
402,qághud,aghud
403,qághup,aghup
404,maqághup,maaghup
405,qághuy,aghuy
406,qaghuyán,aghuyan
407,qághuy,aghuy
408,qagí,agi
409,qági,agi
412,qagí,agi
413,paqági,paagi
414,pinaqági,pinaagi
415,paŋági,pangagi
416,qagiqánan,agianan
417,qalagíqan,alagian
418,qumaqági,umaagi
419,qumalági,umalagi
420,kaqági,kaagi
421,kaqagínhun,kaaginhun
422,maqagínhun,maaginhun
423,qágid,agid
424,qagigísiŋ,agigising
425,qagíqik,agiik
426,qagíkqik,agik-ik
427,qagíl,agil
428,qigalagíl,igalagil
429,qagilá,agila
430,qagímud,agimud
431,qagináldu,aginaldu
433,qagíŋay,agingay
434,qagínsud,aginsud
435,qagínud,aginud
436,qagipú,agipu
437,qagirí,agiri
438,qagísqis,agis-is
439,qagítqit,agit-it
440,qagítqit,agit-it
441,qagitqitún,agit-itun
442,qagítuŋ,agitung
443,qagitúŋ,agitung
444,qágiw,agiw
445,paqágiw,paagiw
446,qalagiwán,alagiwan
447,qágiwanan,agiwanan
448,qágkut,agkut
449,qaglidúlsi,aglidulsi
450,qaglípay,aglipay
451,qaglipayánu,aglipayanu
452,qágmaŋ,agmang
453,qágmud,agmud
454,qágŋan,agngan
455,qágni,agni
456,qágnus,agnus
457,qágpan,agpan
458,qágpaŋ,agpang
459,qágpas,agpas
460,paqágpas,paagpas
461,paŋágpas,pangagpas
462,qagrabiyár,agrabiyar
463,qagrabyádu,agrabyadu
464,qagrábyu,agrabyu
465,qágri,agri
466,qagridúlsi,agridulsi
467,qagrigáwu,agrigawu
468,qagrikultúra,agrikultura
469,qagrikulturísta,agrikulturista
470,qagrimínsur,agriminsur
471,qagrísib,agrisib
472,qagrisíba,agrisiba
473,qagrisíbu,agrisibu
474,qinagrisíbu,inagrisibu
475,qágsa,agsa
476,qágsa,agsa
477,qágsiŋ,agsing
478,qágtaq,agta
479,qágtaŋ,agtang
480,qagtaŋún,agtangun
481,qágtiq,agti
482,qagú,agu
484,qágūq̀,agu
485,qagúbhub,agubhub
486,qagúbqub,agub-ub
487,qagúbqub,agub-ub
488,qagúd,agud
489,qagúha,aguha
490,qaguhílya,aguhilya
491,qagúhuq,aguhu
492,qagúkquk,aguk-uk
493,qagúkuy,agukuy
494,qagúl,agul
495,qaguláŋ,agulang
496,qagúluq,agulu
497,qagúm,agum
498,qágum,agum
499,paqágum,paagum
500,hiqágum,hiagum
501,haqágum,haagum
502,kaqáguman,kaaguman
503,qagumáqa,agumaa
504,qagúmud,agumud
505,qagúmqum,agum-um
506,qáguŋ,agung
507,qagúŋal,agungal
508,qagúŋquŋ,agung-ung
509,qagúŋquŋ,agung-ung
510,qagúŋuy,agunguy
511,qaguníyas,aguniyas
512,qagúntuq,aguntu
513,qagúpqup,agup-up
514,qagupqupún,agup-upun
515,qagurúy,aguruy
516,qágus,agus
517,qagusahís,agusahis
518,qagústu,agustu
519,qagúsqus,agus-us
520,qagút,agut
521,qagutún,agutun
522,qagút,agut
523,qagútay,agutay
524,qagutíŋ,aguting
525,qagutíqut,agutiut
526,qagútŋa,agutnga
527,qagútqut,agut-ut
528,qagútqut,agut-ut
529,qagútqut,agut-ut
530,qagúqut,aguut
531,qagúy,aguy
532,qaguyáŋyaŋ,aguyangyang
533,qaguyáŋyaŋ,aguyangyang
534,qágwa,agwa
536,paŋágwa,pangagwa
537,qagwahán,agwahan
539,qagwáda,agwada
540,paŋagwáda,pangagwada
541,qagwádu,agwadu
542,qagwadúr,agwadur
543,qagwánta,agwanta
546,qagwantadú,agwantadu
547,qagwantadúr,agwantadur
548,qagwardiyínti,agwardiyinti
549,qágwas,agwas
551,qagwasíl,agwasil
552,qagwásun,agwasun
553,qah,ah
554,qahá,aha
555,qaháqan,ahaan
556,qáhag,ahag
557,qáhagan,ahagan
558,qáhak,ahak
559,qáhas,ahas
560,qáhas,ahas
561,qahát,ahat
562,qathanáy,athanay
563,qaháw,ahaw
564,qaháy,ahay
565,qahídris,ahidris
566,qahidrisán,ahidrisan
567,qahíŋhu,ahinghu
568,qahinsiyá,ahinsiya
569,qahínti,ahinti
571,qahítu,ahitu
572,qáhuq,ahu
574,qáhug,ahug
575,qahúg,ahug
576,qáhus,ahus
577,qahús,ahus
578,qahusán,ahusan
579,qahusqáhus,ahus-ahus
580,qahusqahús,ahus-ahus
582,qak,ak
583,qakáqak,akaak
584,qákab,akab
585,qakadimíya,akadimiya
586,qákqak,ak-ak
587,qákal,akal
588,qakásya,akasya
589,qakasyahán,akasyahan
590,qakatá,akata
591,qakatár,akatar
592,qakáwntant,akawntant
593,qákba,akba
594,qákbay,akbay
595,qákbuq,akbu
596,qakbuqánan,akbuanan
597,qákhab,akhab
598,qakín,akin
599,qakíp,akip
600,qakipqakipún,akip-akipun
601,qáklas,aklas
602,qákmuq,akmu
603,qákni,akni
604,qáknit,aknit
605,qáksiq,aksi
606,qaksidínti,aksidinti
607,qaksidú,aksidu
608,kaqáksidu,kaaksidu
609,qaksíntu,aksintu
610,qaksiyún,aksiyun
611,qaksiyunísta,aksiyunista
612,qáksul,aksul
613,qákta,akta
614,qaktibidádis,aktibidadis
615,qaktibísta,aktibista
616,qaktíbu,aktibu
617,qáktiŋ,akting
618,qaktitúd,aktitud
619,qáktris,aktris
620,qalaktrisún,alaktrisun
621,qáktu,aktu
622,qáktur,aktur
623,qalakturún,alakturun
625,qaktuwál,aktuwal
627,qakú,aku
628,ku,ku
630,tigqakuqakú,tig-akuaku
631,qákuq,aku
634,maqakuqakuqún,maakuakuun
635,qakúqa,akua
636,kanákuq,kanaku
637,nákuq,naku
640,qáku,aku
641,paŋáku,pangaku
642,kaqakúhan,kaakuhan
643,kapaŋakúhan,kapangakuhan
644,qakuqakuhán,akuakuhan
645,maqakuqakuhán,maakuakuhan
646,maŋgiqakuqakuhán,manggiakuakuhan
647,qakúb,akub
648,qákub,akub
649,qákud,akud
650,qákud,akud
651,qakúd,akud
652,qakúdi,akudi
653,qakulitú,akulitu
654,qakumpaniqíŋ,akumpaniing
655,qakumpaniyamíntu,akumpaniyamintu
656,qakumpaniyár,akumpaniyar
657,qakumplísi,akumplisi
658,qakupqakúp,akup-akup
659,qakurdiyún,akurdiyun
660,qakusádu,akusadu
661,qakusár,akusar
662,qakusádu,akusadu
663,qakusasiyún,akusasiyun
664,qakwáryum,akwaryum
665,qakwíntans,akwintans
667,qákyut,akyut
668,qalá,ala
670,qÁla,ala
671,qaláq,ala
673,paŋálaq,pangala
674,qálaq,ala
675,qalabádu,alabadu
676,qalabanít,alabanit
677,qalabíhid,alabihid
678,qalabútun,alabutun
679,qálad,alad
680,qalagád,alagad
681,quluqalágad,ulualagad
682,qagadqágad,agad-agad
683,qalágad,alagad
685,kaqalagáran,kaalagaran
686,maqalagárun,maalagarun
687,qalágdun,alagdun
688,qalágqag,alag-ag
689,qalalagqagún,alalag-agun
690,qalagqagán,alag-agan
691,qalagási,alagasi
692,qalagáw,alagaw
693,qalagáy,alagay
694,qalagbáti,alagbati
695,qalágbay,alagbay
696,qalagúbay,alagubay
697,qalagúkuy,alagukuy
698,qaláhas,alahas
699,maŋaqalahás,mangaalahas
700,qalahíru,alahiru
701,qalahíru,alahiru
702,qálak,alak
703,qalakáqak,alakaak
704,qalákri,alakri
705,qaláksiw,alaksiw
706,qálqal,al-al
707,qálqal,al-al
708,qalálay,alalay
709,qálam,alam
710,kaqálam,kaalam
711,kinaqádman,kinaadman
712,maqálam,maalam
713,maqálamun,maalamun
714,maŋgiqálamun,manggialamun
715,makinaqadmánun,makinaadmanun
716,pakamaqálamun,pakamaalamun
717,pakamaŋgiqún,pakamanggiun
718,pakamakinaqadmánun,pakamakinaadmanun
719,qalámag,alamag
720,may,may
722,paŋalámag,pangalamag
723,qalamág,alamag
724,qamagqamág,amag-amag
725,qamagán,amagan
726,qalamqálam,alam-alam
727,maqalamqalámun,maalam-alamun
728,qalambíhid,alambihid
729,qalambíhud,alambihud
730,qalámbri,alambri
733,qalámbri,alambri
734,qalambrílyu,alambrilyu
735,qalambríru,alambriru
736,qalámpad,alampad
737,kaqalámpad,kaalampad
738,qalámpat,alampat
739,qálan,alan
740,qálaŋ,alang
741,qalaŋáqaŋ,alangaang
742,qalaŋqálaŋ,alang-alang
743,qalaŋqaláŋ,alang-alang
744,paŋalaŋqálaŋ,pangalang-alang
745,qalaŋíqiŋ,alangiing
746,qalaŋílan,alangilan
747,qalaŋísig,alangisig
748,qalaŋítŋit,alangitngit
749,qalaŋsúhan,alangsuhan
750,qalapáhap,alapahap
751,qalapqaláp,alap-alap
752,qalápqap,alap-ap
753,qalapqapún,alap-apun
754,qalárma,alarma
755,qaláru,alaru
756,qalás,alas
762,qikaqalás,ikaalas
763,qalás,alas
764,qalasán,alasan
766,qalasíman,alasiman
767,qalasíwsiw,alasiwsiw
770,qalasúqus,alasuus
771,qalát,alat
772,qálat,alat
773,qálat,alat
774,qalatán,alatan
775,qaláqut,alaut
776,qaláw,alaw
777,qalawqálaw,alaw-alaw
778,qálaw,alaw
779,qaláwans,alawans
780,qalawíhaw,alawihaw
781,qalawíswis,alawiswis
782,qaláyun,alayun
783,kaqaláyun,kaalayun
784,qaláyunan,alayunan
785,qalayupiyúp,alayupiyup
786,qálba,alba
787,qinálba,inalba
788,qalbaháka,albahaka
789,qalbáŋku,albangku
790,qalbáti,albati
791,qalbínu,albinu
792,qalbuláryu,albularyu
793,qálbum,album
794,qalgudún,algudun
795,qalguwasíl,alguwasil
796,qalhíbi,alhibi
797,qálhu,alhu
798,qáli,ali
799,qalí,ali
800,qalibágbag,alibagbag
801,paqalibágbag,paalibagbag
802,qalibáŋbaŋ,alibangbang
803,qalibaŋbaŋún,alibangbangun
804,qalibáŋu,alibangu
805,qalibáy,alibay
806,qalíbhat,alibhat
807,qalíbi,alibi
808,qalibúsbus,alibusbus
809,qalíbwag,alibwag
810,qalíbyu,alibyu
811,qalídqan,alid-an
812,qalídqi,alid-i
813,qaligqalíg,alig-alig
814,qaligasiyún,aligasiyun
815,qaligatú,aligatu
816,qaligáya,aligaya
817,qaligí,aligi
818,qalígqig,alig-ig
819,qinaligqígay,inalig-igay
820,qaligqigún,alig-igun
821,qaligqigunún,alig-igunun
822,qalígri,aligri
823,qaligrihún,aligrihun
824,qaliguríya,aliguriya
825,qaligútgut,aligutgut
826,qaligútgut,aligutgut
827,kaqaligútgut,kaaligutgut
828,qalihíd,alihid
829,qalíqid,aliid
830,qalikabú,alikabu
831,qalikási,alikasi
832,qalikáti,alikati
834,qalikúmuq,alikumu
835,qalikún,alikun
836,qalíkway,alikway
837,qalíli,alili
838,qalíliŋ,aliling
839,qalílis,alilis
840,qalilúya,aliluya
841,qalilúyuk,aliluyuk
842,qálim,alim
843,paqálim,paalim
844,qálim,alim
845,qalíma,alima
846,qalimádmad,alimadmad
847,qalimán,aliman
848,qalimáŋu,alimangu
849,qalimaŋuhún,alimanguhun
850,qalimánya,alimanya
851,qalimása,alimasa
852,paŋalimása,pangalimasa
853,qalimásag,alimasag
854,qalimátmat,alimatmat
855,qalimátuk,alimatuk
856,kaqalimátuk,kaalimatuk
857,qalimatukán,alimatukan
858,qalimbrílyu,alimbrilyu
859,qalimbúkad,alimbukad
860,qalímgas,alimgas
861,qalimgasán,alimgasan
862,qalímgat,alimgat
863,qalimpatakán,alimpatakan
864,qalimpúlu,alimpulu
865,qalimpulúhan,alimpuluhan
866,kinaqalimpuluhán,kinaalimpuluhan
867,qalimpúlus,alimpulus
868,qalimpuyáŋ,alimpuyang
869,qalimpuyás,alimpuyas
870,qalimpuyíŋ,alimpuying
871,qalimúgmug,alimugmug
872,qalimúkaw,alimukaw
873,qalimúkun,alimukun
874,qalimúŋaw,alimungaw
875,qalimuŋáwuŋ,alimungawung
876,qalimúsan,alimusan
877,qalimúqut,alimuut
879,qalímyun,alimyun
880,paŋalímyun,pangalimyun
881,qalindáhaw,alindahaw
882,qalindánaw,alindanaw
883,qalindáŋa,alindanga
884,qalindáŋay,alindangay
885,qalindasáy,alindasay
886,qaliŋá,alinga
887,qaliŋábŋab,alingabngab
888,qaliŋágŋag,alingagngag
889,qaliŋagŋagán,alingagngagan
890,qaliŋása,alingasa
891,kaqaliŋása,kaalingasa
892,qaliŋása,alingasa
893,kaqaliŋása,kaalingasa
894,qaliŋásu,alingasu
895,qaliŋasúhun,alingasuhun
896,qaliŋáwŋaw,alingawngaw
897,paqaliŋáwŋaw,paalingawngaw
898,qaliŋáwŋaw,alingawngaw
899,qaliŋgánay,alingganay
900,qalíŋgat,alinggat
901,qaliŋíqiŋ,alingiing
902,qaliŋísi,alingisi
903,qaliŋísig,alingisig
904,qaliŋísŋis,alingisngis
905,qaliŋít,alingit
906,qaliŋitíŋ,alingiting
907,qaliŋkawás,alingkawas
908,qaliŋúgŋug,alingugngug
909,qalinsúqub,alinsuub
910,qalintabú,alintabu
911,qalinupúŋ,alinupung
912,qalipádnu,alipadnu
913,qalipádsay,alipadsay
914,qalipánti,alipanti
915,qalipasá,alipasa
916,qalipáta,alipata
917,qalipátaq,alipata
918,qalipátpat,alipatpat
919,qalípqip,alip-ip
920,qalípqip,alip-ip
921,qalipúlu,alipulu
922,qalipúluŋ,alipulung
923,qalipuŋá,alipunga
924,qalipuŋáq,alipunga
925,qalipúŋa,alipunga
926,qalipúŋa,alipunga
927,qaliputú,aliputu
928,qalipútu,aliputu
929,qalíraw,aliraw
930,qalírdyik,alirdyik
931,qalíruŋ,alirung
932,qalísbu,alisbu
933,qalísbuŋ,alisbung
934,qalísdan,alisdan
935,qalísdi,alisdi
936,qalisíwsiw,alisiwsiw
937,qalísŋaw,alisngaw
938,paŋalísŋaw,pangalisngaw
939,qinalísŋaw,inalisngaw
940,qalístu,alistu
941,qalisúksuk,alisuksuk
942,qalitúndan,alitundan
943,qaliwálaŋ,aliwalang
944,qaliwarús,aliwarus
945,qaliwárus,aliwarus
946,qalíwas,aliwas
947,qalíwasun,aliwasun
948,qaliwasá,aliwasa
949,qaliwása,aliwasa
950,qaliyúpyup,aliyupyup
951,qalkabála,alkabala
952,qalkáldi,alkaldi
953,qalkámpur,alkampur
954,qalkampuradú,alkampuradu
956,diqalkámpur,dialkampur
957,qalkánsi,alkansi
959,qalkansíya,alkansiya
960,qalkáydi,alkaydi
961,qalkilá,alkila
962,qalkítran,alkitran
963,qalkúba,alkuba
964,qalkuhíris,alkuhiris
965,qalkuhúl,alkuhul
966,qalkuhulíra,alkuhulira
967,qalkúmbra,alkumbra
968,qalkúntra,alkuntra
969,qalmágri,almagri
970,qalmamátir,almamatir
971,qalmanáki,almanaki
972,qalmasíga,almasiga
973,qalmasín,almasin
974,qalmíndras,almindras
975,qalmiránti,almiranti
976,qalmirís,almiris
977,qalmirúl,almirul
978,qalmismutyímpu,almismutyimpu
979,qalmuháda,almuhada
980,qalmuhadún,almuhadun
981,qalmundigás,almundigas
982,qalmunída,almunida
983,qalmuránas,almuranas
984,qálpa,alpa
985,paŋálpa,pangalpa
986,qalpabitayís,alpabitayis
987,qalpáka,alpaka
988,qalpálpa,alpalpa
989,qalpalpahán,alpalpahan
990,qalpilír,alpilir
991,paŋalpilír,pangalpilir
993,qalpiríl,alpiril
994,qalpirín,alpirin
995,qalpirisíya,alpirisiya
996,qalpúmbra,alpumbra
997,qalpunsínu,alpunsinu
998,qálput,alput
999,qálsa,alsa
1002,qinálsa,inalsa
1005,qalsamyíntu,alsamyintu
1006,qálta,alta
1009,diqálta,dialta
1011,qáltar,altar
1012,qáltu,altu
1013,qáltu,altu
1014,qalú,alu
1015,qaluqálu,alualu
1016,qaluqaluhán,alualuhan
1017,maqaluqaluhún,maalualuhun
1018,qaluhánay,aluhanay
1019,qáluq,alu
1020,qalubíhid,alubihid
1021,qalúdqud,alud-ud
1022,qaludqúdun,alud-udun
1023,qalúg,alug
1024,qalugbáti,alugbati
1025,qalúgqug,alug-ug
1026,qaluhánay,aluhanay
1027,qaluhípan,aluhipan
1028,qalukabá,alukaba
1029,qalukábhaŋ,alukabhang
1030,qalúla,alula
1031,qalúm,alum
1032,qalúman,aluman
1033,qálum,alum
1034,qalúmun,alumun
1035,qálum,alum
1036,qaluminúm,aluminum
1038,qalumínus,aluminus
1039,qalúmnus,alumnus
1040,qalúmqum,alum-um
1041,qálun,alun
1042,qalúndris,alundris
1043,qalúndris,alundris
1044,qáluŋ,alung
1045,qáluŋ,alung
1046,qaluŋqáluŋ,alung-alung
1047,qaluŋáqiŋ,alungaing
1048,qaluŋáqiŋun,alungaingun
1049,qaluŋaqúg,alungaug
1050,qalúŋnan,alungnan
1051,qálup,alup
1052,qalúp,alup
1053,qalupaqúp,alupaup
1054,qalupíq,alupi
1055,qalúpqup,alup-up
1056,qalupuqúp,alupuup
1057,qálus,alus
1058,paqálus,paalus
1059,qalusíman,alusiman
1060,qalút,alut
1061,paqalút,paalut
1062,qaluwíhaw,aluwihaw
1063,qalúy,aluy
1065,qalúy,aluy
1066,qáluy,aluy
1067,qaluyán,aluyan
1068,qalúyuk,aluyuk
1069,qalúyukan,aluyukan
1070,kinaqaluyukán,kinaaluyukan
1071,qalyádu,alyadu
1072,qalyádus,alyadus
1073,qalyánsa,alyansa
1074,qályas,alyas
1075,qályin,alyin
1076,qamá,ama
1079,paŋamá,pangama
1080,qamaqáma,amaama
1082,qamahán,amahan
1084,paŋamahán,pangamahan
1085,qamáqun,amaun
1086,qamá,ama
1087,qámag,amag
1088,qamagá,amaga
1089,qamagqamág,amag-amag
1090,qamagán,amagan
1091,qamagús,amagus
1092,qamágus,amagus
1093,qamahán,amahan
1094,qamahúŋ,amahung
1095,qamákan,amakan
1096,qinamákan,inamakan
1097,qámqam,am-am
1098,hiqámqam,hiam-am
1099,haqámqam,haam-am
1100,qamqám,am-am
1101,qamamahúŋ,amamahung
1102,qamamakúl,amamakul
1103,qamamalíw,amamaliw
1104,qamamáŋkas,amamangkas
1105,qamamáŋluy,amamangluy
1106,qamamáŋpaŋ,amamangpang
1107,qamamáylan,amamaylan
1108,qamáŋ,amang
1109,qinamáŋ,inamang
1110,qamaŋqamáŋ,amang-amang
1111,qamáŋtan,amangtan
1112,qamánti,amanti
1114,qamánus,amanus
1115,qamapúlun,amapulun
1116,qamapúŋ,amapung
1117,qamargúsu,amargusu
1118,qamarílyu,amarilyu
1119,qamáspas,amaspas
1120,qamasúna,amasuna
1121,qamát,amat
1122,qámat,amat
1123,paŋámat,pangamat
1124,qamátuŋ,amatung
1125,qamátyur,amatyur
1126,qamáqun,amaun
1127,qamáw,amaw
1128,qamáwun,amawun
1129,qámay,amay
